scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/DP/22012034366411,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,144886,19903,27-04-2017,144886,0,0,19903,0  ,164789,
3214003009/DP/22012034366415,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,34560,10677,27-04-2017,34560,0,0,10677,0  ,45237,
3214003009/DP/22012034361781,04-10-2018,Nursary at Pratappur in Sansad V ,30060,19762,34380,18860,16-04-2017,34380,0,0,18860,0  ,53240,
3214003009/DP/22012034361778,04-10-2018,Nursary at Manguria at Sansad IV ,30060,19762,22680,37720,16-04-2017,22680,0,0,37720,0  ,60400,
3214003009/DP/22012034361104,04-10-2018,Nursara at Sarachakalata in Sansad XI ,30060,19762,29520,20696,16-04-2017,29520,0,540,20156,0  ,50216,
3214003009/DP/22012034366500,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,79884,1500,27-04-2017,79884,0,0,1500,0  ,81384,
3214003009/DP/22012034361116,04-10-2018,Nursary at Baragram in Sansad X ,30060,19762,30060,19562,16-04-2017,30060,0,0,19562,0  ,49622,
3214003009/LD/321002040776421,05-07-2019,LAND LEVELING OF UTTARA SAHIS ,190080,8170,184320,4320,17-10-2017,184320,0,4320,0,0  ,188640,
3214003009/LD/321002040793650,05-07-2019,LAND LEVELING OF AVIRAM MUDI AT LALPUR ,190620,8170,187214,5790,16-02-2018,187214,0,5790,0,0  ,193004,
3214003009/LD/321002040775629,05-07-2019,LAND LEVELING OF BIBHUTI MAHATO ,93240,5200,79200,1620,09-10-2017,79200,0,1620,0,0  ,80820,
3214003009/IF/IAY/3744343,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3312075 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034366394,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,188920,22090,27-04-2017,188920,0,2187,19903,0  ,211010,
3214003009/LD/321002040775624,05-07-2019,LAND LEVELING OF VIKHU SAHIS ,93240,5200,90192,2160,09-10-2017,90192,0,2160,0,0  ,92352,
3214003009/LD/321002040775627,05-07-2019,LAND LEVELING OF RABAN CH BESRA ,21960,3040,25920,810,09-10-2017,25920,0,810,0,0  ,26730,
3214003009/LD/321002040775069,05-07-2019,LAND LEVELING OF DEBENDRANATH MANDAL ,93600,5200,92340,2754,18-09-2017,92340,0,2754,0,0  ,95094,
3214003009/IF/IAY/3368637,18-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4895006 ,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3214003009/DP/22012034366506,04-10-2018," clean environment at school campus schemes(compose pit,sock pit,brick solling pavement,land levelli ",157680,42874,18480,1500,27-04-2017,18480,0,0,1500,0  ,19980,
3214003009/LD/321002040775070,05-07-2019,LAND LEVELING OF MADHUSUDAN MANDAL ,93600,5200,78900,2295,18-09-2017,78900,0,2295,0,0  ,81195,
3214003009/LD/321002040775060,05-07-2019,LAND LEVELING OF FANIBHUSAN MAHATO ,93600,5200,90900,2700,18-09-2017,90900,0,2700,0,0  ,93600,
