scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010005/IF/IAY/3367690,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5267028 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367701,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4875546 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367685,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5394543 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367684,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3401685 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367692,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5306909 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367680,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5476124 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367681,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4857857 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367683,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2822257 ,13-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367679,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5293135 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367688,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2782213 ,02-02-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367676,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5146526 ,23-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367678,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2820296 ,15-03-2021,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367670,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5209041 ,08-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367682,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5117363 ,14-12-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/IF/IAY/3367671,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5405951 ,15-03-2021,18145,0,18535,0,26-02-2020,18535,0,0,0,0  ,18535,
3213010005/IF/IAY/3367718,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5262468 ,03-11-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
